,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
84,Gibraltar,GIB,Europe,0.54,7208114.326,0.00495603,199.4,3.0,7208114.326,5.2005e-05,3211394.029616381,17982.812254032287
85,Guinea,GIN,Africa,0.45,244816176762.69,4.97e-05,199.4,1.0,244816176762.69,2.0006e-05,1093791396.2208722,1963506.9150698748
86,Guadeloupe,GLP,North America,0.63,1650236974.063,0.00023965,199.4,1.0,1650236974.063,2.0006e-05,35551812.720281675,89348.5928898498
87,Gambia,GMB,Africa,0.45,10670476825.809,0.00020843,199.4,1.0,10670476825.809,2.0006e-05,199931883.90208787,358905.39817834215
88,Guinea-Bissau,GNB,Africa,0.45,33882259039.253,4.442e-05,199.4,1.0,33882259039.253,2.0006e-05,135297233.18915877,242877.25600566875
89,Equatorial Guinea,GNQ,Africa,0.45,26959422338.778,4.842e-05,199.4,1.0,26938460105.145,2.0006e-05,117256129.42638054,210490.9782235431
90,Greece,GRC,Europe,0.54,132574780293.1,8.127e-05,199.4,3.0,104257185391.268,5.2005e-05,761682993.052158,4265188.928803776
90,Greece,GRC,Europe,0.54,132574780293.1,8.127e-05,199.4,4.0,749487274.557,0.00013328,5475610.226735445,78580.79600683416
90,Greece,GRC,Europe,0.54,132574780293.1,8.127e-05,199.4,5.0,27477116870.159,0.000159993,200742543.9269487,3458273.359501382
91,Grenada,GRD,North America,0.63,359530946.74,0.00031635,199.4,1.0,357276358.547,2.0006e-05,10160383.975705745,25535.01332245692
92,Greenland,GRL,North America,0.63,2150881318933.96,3e-08,199.4,7.0,86950187969.21,0.000158663,234492.94592550155,4673.8110152840045
92,Greenland,GRL,North America,0.63,2150881318933.96,3e-08,199.4,6.0,50778.593,0.000240838,0.13694302612362985,0.0041431498002702455
92,Greenland,GRL,North America,0.63,2150881318933.96,3e-08,199.4,8.0,48561606017.446,0.000230084,130964.11083017853,3785.3358778395777
92,Greenland,GRL,North America,0.63,2150881318933.96,3e-08,199.4,10.0,2012013734079.68,0.00024528,5426130.049471352,167192.98028984002
93,Guatemala,GTM,North America,0.63,109151180469.621,0.00016236,199.4,1.0,109151180469.621,2.0006e-05,1593108968.01087,4003791.4727979074
94,French Guiana,GUF,South America,0.56,83300948067.425,3.11e-06,199.4,1.0,83300948067.425,2.0006e-05,23288865.678605158,52026.161110098146
95,Guam,GUM,Oceania,0.4,549795643.99,0.00032384,199.4,,,,,
96,Guyana,GUY,South America,0.56,209744130631.412,3.64e-06,199.4,1.0,209744130631.412,2.0006e-05,68632402.69747868,153321.3549079141
97,"China, Hong Kong Special Administrative Region",HKG,Asia,0.56,1129279766.735,0.00678183,199.4,2.0,1129279766.735,2.2628e-05,688472264.0739331,1739585.5837125434
98,Heard Island and McDonald Islands,HMD,Seven seas (open ocean),0.0,363033747.421,0.0,199.4,,,,,
99,Honduras,HND,North America,0.63,112289735371.059,8.141e-05,199.4,1.0,112285344656.328,2.0006e-05,821748337.0836024,2065212.7700399328
